Brand,Product,Barcode,Stock,Price,MOQ,GTIN,Target price,TargetPrice,OriginalPrice,PercentToTarget,Reduction_Factor
Beauty of Joseon,Relief Sun : Rice + Probiotics 50ml,8809782555508,18000,6.5065,24,8809782555508,6.23,6.23,10.01,0.378,0.35
Beauty of Joseon,Revive Eye Serum : Ginseng + Retinal 30ml,8809738316146,18000,6.2985,24,8809738316146,6.14,6.14,9.69,0.366,0.35
Beauty of Joseon,(1EA) Centella Asiatica Calming Mask 25ml,8809525246014,18000,0.6996,24,8809525246014,0.7,0.7,1.06,0.34,0.34
Beauty of Joseon,Dynasty Cream 50ml,8809525249565,18000,8.411,24,8809525249565,8.19,8.19,12.94,0.367,0.35
Beauty of Joseon,Ginseng Cleansing Oil 210ml,8809968130130,18000,6.9875,24,8809968130130,6.73,6.73,10.75,0.374,0.35
Beauty of Joseon,Glow Deep Serum : Rice + Arbutin 30ml,8809738312728,18000,6.2985,24,8809738312728,5.98,5.98,9.69,0.383,0.35
BIODANCE,[EU}Hydro Cera-nol Real Deep Mask 1Box (34g*4ea),8809937361664,6336,6.888,24,8809937361664,6.89,6.89,10.5,0.344,0.344
Medicube,COLLAGEN NIGHT WRAPPING MASK 75ml,8800256118984,18000,8.5204,24,8800256118984,8.52,8.52,11.9,0.284,0.284
Beauty of Joseon,Revive Serum : Ginseng+Snail Mucin 30ml,8809738316139,18000,6.2985,24,8809738316139,5.98,5.98,9.69,0.383,0.35
Beauty of Joseon,Glow Replenishing Rice Milk 150ml,8809968130239,992,6.746739999999999,24,8809968130239,6.75,6.75,10.01,0.326,0.326
COSRX,Master Patch Original Fit (EU Package),8809598455726,18000,1.2398399999999998,24,8809598455726,1.24,1.24,1.64,0.244,0.244
Beauty of Joseon,Ground Rice and Honey Glow Mask 150ml,8809968130246,18000,6.5065,24,8809968130246,6.18,6.18,10.01,0.383,0.35
Dr.Althea,147 Barrier Cream 50ml,8809447251363,18000,9.40044,24,8809447251363,9.4,9.4,13.02,0.278,0.278
Beauty of Joseon,Radiance Cleansing Balm 100ml,8809606851663,18000,6.760000000000001,24,8809606851663,6.58,6.58,10.4,0.367,0.35
Beauty of Joseon,Red Bean Refreshing Pore Mask 140ml,8809738316986,18000,6.9875,24,8809738316986,6.82,6.82,10.75,0.366,0.35
Beauty of Joseon,Ginseng Essence Water 150ml,8809738310960,18000,6.5065,24,8809738310960,6.18,6.18,10.01,0.383,0.35
Beauty of Joseon,Calming serum : Green tea + Panthenol 30ml,8809738316412,18000,6.2985,24,8809738316412,5.98,5.98,9.69,0.383,0.35
Beauty of Joseon,Green plum refreshing toner : AHA + BHA (150ml),8809968130123,12135,6.9225,24,8809968130123,6.18,6.18,10.65,0.42,0.35
Medicube,DEEP VITA C CAPSULE CREAM 55g,8800256119011,18000,10.16316,24,8800256119011,10.16,10.16,15.26,0.334,0.334
COSRX,Advanced Snail 92 All In One Cream 100ml (EU Package),8809416470016,8876,6.839919999999999,24,8809416470016,6.84,6.84,8.86,0.228,0.228
COSRX,Advanced Snail 96 Mucin Power Essence 100ml (EU Package),8809416470009,10908,6.14656,24,8809416470009,6.15,6.15,7.84,0.216,0.216
Medicube,COLLAGEN JELLY CREAM 110ml,8800256118991,18000,9.64516,24,8800256118991,9.64,9.64,13.72,0.297,0.297
Beauty of Joseon,Apricot Blossom Peeling Gel 100ml,8809738312872,1238,4.830699999999999,24,8809738312872,4.83,4.83,7.21,0.33,0.33
Medicube,COLLAGEN JELLY CREAM 50ml,8800256119004,18000,6.1335999999999995,24,8800256119004,6.13,6.13,8.2,0.252,0.252
Beauty of Joseon,Matte sun stick : Mugwort + Camilia 18g,8809864766884,18000,6.5065,24,8809864766884,6.1,6.1,10.01,0.391,0.35
BIODANCE,Radiant Vita Niacinamide Real Deep Mask 1Box (34g*4ea),8809891184590,18000,6.825,24,8809891184590,6.26,6.26,10.5,0.404,0.35
Dr.Althea,[Renew] Vitamin C Boosting Serum 30ml,8809447255385,18000,6.803999999999999,24,8809447255385,6.8,6.8,9.45,0.28,0.28
COSRX,AHA/BHA Clarifying Treatment Toner 150ml (EU Package),8809416470030,502,4.25124,24,8809416470030,4.25,4.25,5.88,0.277,0.277
Round Lab,(EU) ROUND LAB BIRCH JUICE CLEANSER 150ml,8809657116544,18000,4.32286,24,8809657116544,4.32,4.32,6.62,0.347,0.347
BIODANCE,Refreshing Sea Kelp Real Deep Mask 1Box (34g*4ea),8809891184576,18000,6.825,24,8809891184576,6.26,6.26,10.5,0.404,0.35
Medicube,TRIPLE COLLAGEN CREAM 4.0 50ml,8800256118977,4538,10.12536,24,8800256118977,10.13,10.13,13.72,0.262,0.262
Round Lab,(EU) Birch Juice Sun Cream 50ml,8809782551814,18000,6.227,24,8809782551814,6.16,6.16,9.58,0.357,0.35
Dr.Althea,Pure Grinding Cleansing Balm 50ml,8809447255071,18000,6.2562500000000005,24,8809447255071,6.26,6.26,8.75,0.285,0.285
Round Lab,(EU) 1025 DOKDO TONER_200ml,8809657114731,5051,5.0895,24,8809657114731,5.07,5.07,7.83,0.352,0.35
Beauty of Joseon,Dynasty Cream 100ml,8809954941498,8342,12.870000000000001,24,8809954941498,11.46,11.46,19.8,0.421,0.35
Round Lab,(sample) Soybean Nourishing Cream 2ml,8809864752528,0,0.15,24,,,0.0,0.15,0.0,0.0
Beauty of Joseon,Red Bean Water Gel 100ml,8809738316993,8978,7.25382,24,8809738316993,7.25,7.25,10.26,0.293,0.293
Skin1004,(EU) Madagascar Centella Ampoule 55ml (EU PACKAGE),8809913830528,18000,6.08304,24,8809913830528,6.08,6.08,8.74,0.304,0.304
Medicube,ZERO PORE PAD MILD (70pcs),8800256119059,1804,9.518320000000001,24,8800256119059,9.52,9.52,12.88,0.261,0.261
COSRX,BHA Blackhead Power Liquid (EU Package),8809416470054,956,6.143040000000001,24,8809416470054,6.14,6.14,8.64,0.289,0.289
VT COSMETICS,MILD REEDLE SHOT 50 2-STEP MASK (EU Package),8803463006020,12721,0.7796999999999998,24,8803463006020,0.78,0.78,1.13,0.31,0.31
PURITO SEOUL,Mighty Bamboo Panthenol Cream 100ml,8809563103430,12439,8.6445,24,8809563103430,8.64,8.64,11.3,0.235,0.235
ANUA,PDRN HYALURON 100 SERUM MASK,8809640737763,5422,1.09991,24,8809640737763,1.1,1.1,1.33,0.173,0.173
Haruharu Wonder,Black Rice Deep Cleansing Oil 150ml,8809532221349,2053,7.18504,24,8809532221349,7.19,7.19,11.02,0.348,0.348
Dr.Althea,Gentle Vitamin C Serum 30ml,8809447255101,18000,6.75675,24,8809447255101,6.76,6.76,9.45,0.285,0.285
COSRX,Aloe Soothing Sun Cream SPF50 50ml (EU Package),8809598454354,11221,4.31158,24,8809598454354,4.31,4.31,5.98,0.279,0.279
VT COSMETICS,MILD REEDLE SHOT 700 2-STEP MASK (EU Package),8803463006051,1867,1.44018,24,8803463006051,1.44,1.44,1.89,0.238,0.238
Haruharu Wonder,WONDER Black Rice Hyaluronic Toner 150ml_For Sensitive,8809532221462,6286,4.889939999999999,24,8809532221462,4.89,4.89,7.17,0.318,0.318
TOCOBO,COTTON SOFT SUN STICK SPF50+ PA++++,8809835060041,11694,6.21414,24,8809835060041,6.21,6.21,8.74,0.289,0.289
COSRX,Advanced Snail Peptide Eye Cream 25ml (EU Package),8809598455412,0,11.66,24,,,0.0,11.66,0.0,0.0
Medicube,KOJIC ACID TURMERIC BRIGHTENING GEL MASK(28g*4ea),8800289475009,12820,5.4665,24,8800289475009,1.9,1.9,8.41,0.774,0.35
Medicube,ONE DAY EXOSOME SHOT PORE AMPOULE 7500 30ml,8800256119035,7528,10.20654,24,8800256119035,10.21,10.21,13.83,0.262,0.262
Round Lab,(EU) 1025 DOKDO CREAM_80ml,8809738600245,4776,9.789000000000001,24,8809738600245,9.58,9.58,15.06,0.364,0.35
PURITO SEOUL,Wonder Releaf Centella Serum Unscented 60ml,8809563100316,18000,8.828199999999999,24,8809563100316,8.83,8.83,11.93,0.26,0.26
Medicube,COLLAGEN GLOW BOOSTER SERUM 15ml,8809981339206,13058,7.894880000000001,24,8809981339206,7.89,7.89,10.64,0.258,0.258
Medicube,ZERO PORE BLACKHEAD MUD MASK 100g,8800289474880,6853,5.62788,24,8800289474880,5.63,5.63,7.29,0.228,0.228
PURITO SEOUL,Wonder Releaf Centella Spot Patch,8809563100330,18000,3.89,24,8809563100330,3.89,3.89,5.0,0.222,0.222
Beauty of Joseon,Ginseng sun serum 50ml,8809864752689,4037,7.774000000000001,24,8809864752689,7.16,7.16,11.96,0.401,0.35
TOCOBO,BIO WATERY SUN CREAM SPF50+ PA++++,8809835060058,11151,5.60976,24,8809835060058,5.61,5.61,8.06,0.304,0.304
Medicube,AGE-R BOOSTER PRO EX,8800256119400,7878,99.6385,24,8800256119400,95.66,95.66,153.29,0.376,0.35
Medicube,DEEP VITA C PAD (70pcs),8800256109661,0,14.84,24,,,0.0,14.84,0.0,0.0
ANUA,8 HYALURONIC ACID MOISTURIZING GENTLE GEL CLEANSER 150ml,8809640736117,1064,3.73042,24,8809640736117,3.73,3.73,4.87,0.234,0.234
BIODANCE,Collagen Gel Toner Pads 60Pads,8809891184545,0,11.51,24,,,0.0,11.51,0.0,0.0
Beauty of Joseon,(Miniature) Centella Asiatica Vita Serum 10ml,8809971480871,8061,2.91816,24,8809971480871,2.92,2.92,3.78,0.228,0.228
ANUA,HEARTLEAF 70% INTENSE CALMING CREAM,8809640734670,717,7.4879999999999995,24,8809640734670,6.22,6.22,11.52,0.46,0.35
Medicube,ONE DAY EXOSOME SHOT PORE AMPOULE 2000 30ml,8800256119028,16066,8.91404,24,8800256119028,8.92,8.92,12.68,0.297,0.297
PURITO SEOUL,Dermide Cica Barrier Sleeping Pack 80ml,8809563102136,8425,7.8515,24,8809563102136,7.85,7.85,10.25,0.234,0.234
Medicube,PDRN PINK HYALURONIC MOISTURIZING CREAM 50ML,8800289474736,2168,6.440000000000001,24,8800289474736,6.44,6.44,8.05,0.2,0.2
ANUA,[4EA] RICE 70 GLOW COLLAGEN MASK,8809640739026,1743,6.436800000000001,24,8809640739026,6.44,6.44,8.64,0.255,0.255
Round Lab,(EU) BIRCH JUICE SERUM 50ml,8809782553009,751,6.045000000000001,24,8809782553009,5.99,5.99,9.3,0.356,0.35
Medicube,AGE-R BOOSTER PRO EX PINK,8800256119417,3715,106.38325999999999,24,8800256119417,106.4,106.4,153.29,0.306,0.306
ANUA,PEACH 77 NIACIN ENRICHED CREAM 50ml,8809640735653,8774,10.18812,24,8809640735653,10.19,10.19,14.39,0.292,0.292
ANUA,[4EA] PEACH 70 NIACIN BRIGHTENING COLLAGEN MASK,8809640739033,956,6.436800000000001,24,8809640739033,6.44,6.44,8.64,0.255,0.255
Medicube,ZERO PORE ONE DAY CREAM 50ml,8800256118908,6182,10.29427,24,8800256118908,10.29,10.29,13.93,0.261,0.261
Dr.Althea,15% Niacinamide Purity Serum 30ml,8809447254609,536,7.018619999999999,24,8809447254609,7.02,7.02,9.83,0.286,0.286
Dr.Althea,Amino Acid Gentle Bubble Cleanser 140ml,8809447251400,10498,5.8573200000000005,24,8809447251400,5.86,5.86,7.98,0.266,0.266
IUNIK,Calendula Complete Cleansing Oil 200ml,8809728080255,7178,7.57272,24,8809728080255,7.57,7.57,11.12,0.319,0.319
ANUA,[4EA] HEARTLEAF 70 SOOTHING COLLAGEN MASK,8809640739040,1094,6.436800000000001,24,8809640739040,6.44,6.44,8.64,0.255,0.255
Dr.Althea,Rapid Firm Sculpting Cream 45ml,8809447251745,3157,10.09344,24,8809447251745,10.09,10.09,13.44,0.249,0.249
IUNIK,Centella Calming Gel Cream 60ml,8809728080118,1780,5.12936,24,8809728080118,5.13,5.13,6.61,0.224,0.224
COSRX,PEPTIDE-132 Ultra Perfect Hair Bonding Shampoo 200ml,8809598457331,4384,7.494879999999998,24,8809598457331,7.49,7.49,11.12,0.326,0.326
Medicube,PORE BLACKHEAD DEEP CLEANSING OIL 205ml,8800289474743,3131,6.64416,24,8800289474743,6.64,6.64,8.64,0.231,0.231
BIODANCE,Cera-nol Gel Toner Pads 60Pads,8809891184552,946,7.81529,24,8809891184552,7.82,7.82,11.51,0.321,0.321
Medicube,AGE-R VITA C PRO AMPOULE 20ml,8800256118946,5581,9.51093,24,8800256118946,9.51,9.51,12.87,0.261,0.261
COSRX,PEPTIDE-132 Ultra Perfect Hair Bonding Oil Serum 28ml,8809598457355,4705,7.494879999999998,24,8809598457355,7.49,7.49,11.12,0.326,0.326
ARENCIA,(EU Package) FRESH GREEN RICE MOCHI CLEANSER 120G,8809562190738,5400,8.05875,24,8809562190738,8.06,8.06,8.75,0.079,0.079
TOCOBO,CICA CALMING SUN SERUM 50ML SPF50+ PA++++,8809835060447,2175,4.6986799999999995,24,8809835060447,4.7,4.7,6.79,0.308,0.308
Haruharu Wonder,Black Rice Probiotics Barrier Essence 120ml (a.k.a. Makgeolli Essence),8809532221967,0,11.03,24,,,0.0,11.03,0.0,0.0
celimax,HEARTLEAF BHA PEELING PAD 60EA (renewal),8809463992615,0,9.58,24,,,0.0,9.58,0.0,0.0
COSRX,PEPTIDE-132 Ultra Perfect Hair Bonding Treatment 120ml,8809598457348,4681,7.494879999999998,24,8809598457348,7.49,7.49,11.12,0.326,0.326
TOCOBO,CICA COOLING SUN STICK SPF50+ PA++++,8809835060454,858,5.7776700000000005,24,8809835060454,5.78,5.78,8.41,0.313,0.313
Round Lab,(EU) 1025 DOKDO LOTION_200ml,8809657114779,0,8.86,24,,,0.0,8.86,0.0,0.0
Dr.Althea,Pore Refresh Grinding Cleansing Balm 50ml,8809447255620,1229,6.2562500000000005,24,8809447255620,6.26,6.26,8.75,0.285,0.285
celimax,(Renew) NONI ENERGY AMPOULE 30ml,8809875907795,2051,8.92056,24,8809875907795,8.92,8.92,13.08,0.318,0.318
Round Lab,(EU) 1025 Dokdo SLEEPING MASK(PACK)_100ml,8809657115639,1749,6.0255,24,8809657115639,5.98,5.98,9.27,0.355,0.35
PURITO SEOUL,Wonder Releaf Centella Toner 200ml,8809563101009,353,8.94999,24,8809563101009,8.95,8.95,11.73,0.237,0.237
ANUA,BHA 2% GENTLE EXFOLIATING TONER 150ml,8809640735271,0,10.29,24,,,0.0,10.29,0.0,0.0
Medicube,DEEP VITA A RETINOL SERUM 30ml,8800289473142,1419,9.4572,24,8800289473142,9.46,9.46,12.78,0.26,0.26
Medicube,ZERO PORE ONE DAY SERUM 30ml,8800289473128,1720,8.3104,24,8800289473128,8.31,8.31,11.2,0.258,0.258
VT COSMETICS,REEDLE SHOT 50 50ml (EU Package),8809559626196,5079,7.010959999999999,24,8809559626196,7.01,7.01,10.28,0.318,0.318
COSRX,COSRX Master Patch Basic_90pcs (EU Package),8809598454743,1784,6.071,24,8809598454743,5.8,5.8,9.34,0.379,0.35
COSRX,Full Fit Propolis Light Ampoule 30m (EU Package),8809598454316,0,10.96,24,,,0.0,10.96,0.0,0.0
Medicube,ZERO PORE SERUM 2.0 37ml,8800256118892,2525,6.11046,24,8800256118892,6.11,6.11,8.18,0.253,0.253
Heimish,All Clean balm 120ml (cleansing balm),8809481760678,6878,5.829350000000001,24,8809481760678,5.83,5.83,8.51,0.315,0.315
VT COSMETICS,VT CICA DAILY SOOTHING MASK (EU Package),8809559627490,1379,7.31104,24,8809559627490,7.31,7.31,10.72,0.318,0.318
MIXSOON,Bean Essence 50ml,8809732912986,2216,6.8705,24,8809732912986,6.87,6.87,9.1,0.245,0.245
PURITO SEOUL,Wonder Releaf Centella BB Cream #23 Natural Beige 30ml,8809563103706,1399,4.5182,24,8809563103706,4.52,4.52,5.8,0.221,0.221
COSRX,Oil Free Ultra Moisturizing Lotion 100 mL,8809416470559,1308,6.308319999999999,24,8809416470559,6.31,6.31,8.86,0.288,0.288
ANUA,[RENEW] HEARTLEAF 70 DAILY LOTION 200ml,8809640735998,531,7.37799,24,8809640735998,7.38,7.38,9.93,0.257,0.257
Round Lab,(EU) Soybean Toner 300ml,8809624726370,1417,5.5705,24,8809624726370,5.54,5.54,8.57,0.354,0.35
ANUA,HEARTLEAF 80% AMPOULE 30ml,8809640734717,18000,9.98752,24,8809640734717,9.99,9.99,13.57,0.264,0.264
TOCOBO,JUICY BERRY PLUMPING LIP OIL 03 BLACK CHERRY,8809835061475,0,4.87,24,,,0.0,4.87,0.0,0.0
Jumiso,Snail Mucin 88 + Peptide Cream 100ml,8809655951451,1597,6.5113,24,8809655951451,6.51,6.51,8.74,0.255,0.255
TOCOBO,Cica Calming Serum 50ml,8809835060584,242,5.689759999999999,24,8809835060584,5.69,5.69,8.27,0.312,0.312
PURITO SEOUL,Oat-in Calming Gel Cream 100ml,8809563101054,0,7.98,24,,,0.0,7.98,0.0,0.0
Dr.Althea,Green Relief Amino Gel Cleanser 100ml,8809447254708,438,5.5221599999999995,24,8809447254708,5.52,5.52,7.98,0.308,0.308
ANUA,HEARTLEAF 70 DAILY LOTION 200ml,8809640734724,2845,6.4545,24,8809640734724,5.38,5.38,9.93,0.458,0.35
COSRX,Full Fit Propolis Light Cream 65ml (EU Package),8809598454323,0,13.06,24,,,0.0,13.06,0.0,0.0
MIXSOON,Bean Essence 50ml,8809732910159,4031,6.9797,24,8809732910159,6.98,6.98,9.1,0.233,0.233
Haruharu Wonder,WONDER Black Rice Hyaluronic Toner 150ml,8809532220953,12362,4.889939999999999,24,8809532220953,4.89,4.89,7.17,0.318,0.318
Medicube,DEEP VITA C PAD (70pcs),8800289474972,5350,10.343480000000001,24,8800289474972,10.35,10.35,14.84,0.303,0.303
Round Lab,(EU) Mugwort Cream 80ml,8809738605721,1570,7.6635,24,8809738605721,7.54,7.54,11.79,0.36,0.35
PURITO SEOUL,Wonder Releaf Centella BB Cream #21 Light Beige 30ml,8809563103690,2327,4.5182,24,8809563103690,4.52,4.52,5.8,0.221,0.221
Round Lab,(EU) PINE CALMING CICA CLEANSER_150ml,8809864754126,7838,4.19879,24,8809864754126,4.2,4.2,6.43,0.347,0.347
PURITO SEOUL,Wonder Releaf Centella Toner Unscented 200ml,8809563100347,1134,8.94999,24,8809563100347,8.95,8.95,11.73,0.237,0.237
MIXSOON,bifida mask pack 5EA,8809732910739,2888,3.4645,24,8809732910739,3.03,3.03,5.33,0.432,0.35
ANUA,PEACH 77 NIACIN CONDITIONING MILK 150ml,8809640735646,5285,8.695,24,8809640735646,8.7,8.7,11.75,0.26,0.26
Skin1004,Spot Cover Patch 22pcs,8809576261691,0,2.81,24,,,0.0,2.81,0.0,0.0
ANUA,GREEN LEMON VITAMIN C BLEMISH SERUM 20g,8809640735295,206,11.814110000000001,24,8809640735295,11.82,11.82,16.03,0.263,0.263
PURITO SEOUL,Wonder Releaf Centella Daily Sun Lotion 60ml,8809563103072,6849,8.254349999999999,24,8809563103072,8.25,8.25,10.79,0.235,0.235
Heimish,All Clean balm Mandarin 120ml (cleansing balm),8809481761996,3322,5.829350000000001,24,8809481761996,5.83,5.83,8.51,0.315,0.315
VT COSMETICS,100 REEDLE SHOT (2ml*10ea) (EU Package),8803463007294,0,4.42,24,,,0.0,4.42,0.0,0.0
AXIS-Y,Dark Spot Correcting Glow Serum 50ml,8809634610034,3323,6.35964,24,8809634610034,6.36,6.36,9.38,0.322,0.322
Haruharu Wonder,Black Rice Pure Mineral Relief Daily Sunscreen 50ml,8809532221691,0,8.96,24,,,0.0,8.96,0.0,0.0
Medicube,COLLAGEN GLOW BOOSTER SERUM 15ml,8800289474996,308,7.894880000000001,24,8800289474996,7.89,7.89,10.64,0.258,0.258
PURITO SEOUL,Wonder Releaf Centella BB Cream #27 Sand Beige 30ml,8809563103713,1402,4.5182,24,8809563103713,4.52,4.52,5.8,0.221,0.221
